W_REGN;TRICE;TBREAD;TMEAT;TRESTAURANT;TCLOTHFOOTWEAR;TTRANSPORT
ARMM;12792;2300;1530;2160;1013;1980
ARMM;19716;6370;1081;1760;750;2520
ARMM;15876;3248;849;1520;1469;2280
ARMM;22992;2236;446;3240;1800;2160
ARMM;11016;700;2490;1280;677;1920
ARMM;26936;1600;702;2160;610;2880
ARMM;31820;4692;10602;7540;11473;19200
ARMM;26328;1378;1190;1080;1893;1920
ARMM;23364;2112;390;5160;1580;2400
ARMM;26936;3748;860;2160;945;1200
ARMM;23100;8682;1525;2160;3037;2400
ARMM;12704;2960;1142;2160;1420;960
ARMM;25844;2276;622;5360;1863;14520
ARMM;20202;4920;722;0;1350;1440
ARMM;28860;2090;1658;5400;1140;3360
ARMM;19510;1996;310;3240;951;2400
ARMM;13346;2460;1102;1280;1155;2400
ARMM;12778;2444;1912;2560;2305;3360
ARMM;36000;11264;9032;13480;11741;24984
ARMM;10254;6248;4352;0;4695;12408
ARMM;12010;1800;2152;2600;4410;4680
ARMM;18269;7424;2122;6540;4250;3360
ARMM;10540;5832;1274;1040;3010;6480
ARMM;24730;6028;16006;15640;22795;37680
ARMM;10200;838;710;0;3077;16962
ARMM;11213;1692;1047;1720;1645;1680
ARMM;21730;4136;7192;23300;9690;26550
ARMM;26166;2336;3247;21200;3430;6564
ARMM;10800;6300;8098;3940;5965;3402
ARMM;19148;4092;8262;0;4845;3060
ARMM;30246;5496;6242;6960;8480;19560
ARMM;8133;1830;480;0;550;1080
ARMM;28570;5272;11642;12200;7350;21000
ARMM;9240;2665;3266;8260;6340;18096
ARMM;19325;4652;4271;0;3190;8400
ARMM;24502;3100;4076;200;5350;6960
ARMM;10254;1784;1869;0;1620;1440
ARMM;9698;3368;1982;1520;2530;2100
ARMM;27519;5836;3538;42710;7820;79800
ARMM;15035;2436;2074;0;3080;2880
ARMM;19887;2866;1100;0;1290;1680
ARMM;27408;4466;9794;0;7515;12642
ARMM;19240;1416;7744;1300;3860;17688
ARMM;3644;1974;738;2600;1080;1500
ARMM;15185;1980;4222;880;1665;1680
ARMM;22800;1920;3464;0;4228;4764
ARMM;30838;7836;21308;8480;21358;28752
ARMM;20817;10134;23084;7800;17575;26538
ARMM;21801;2766;1923;4590;1825;14760
ARMM;7255;1774;1329;0;1590;2442
ARMM;23530;4032;8782;17260;7980;5640
ARMM;13598;4668;8024;19350;7990;16998
ARMM;14598;2480;7212;3900;8875;14700
ARMM;15621;3168;2666;0;3870;3600
ARMM;9090;2700;1142;5240;890;2280
ARMM;27218;4784;16724;5240;6845;2700
ARMM;17184;2584;2052;3480;4455;2100
ARMM;22800;7248;4344;0;6260;40140
ARMM;10640;2740;3877;800;6028;15582
ARMM;10248;2624;5224;1740;3435;3600
ARMM;14513;1970;3098;3480;4300;5400
ARMM;11250;4034;1849;0;2155;3600
ARMM;21360;2100;3104;4360;3985;4800
ARMM;6300;1668;3284;1300;2340;3900
ARMM;24000;6024;2600;2520;6880;7200
ARMM;12960;4128;1036;5280;6170;5760
ARMM;21785;1834;1510;3060;6387;5280
ARMM;21038;2994;1692;3710;2155;6480
ARMM;21600;1896;1397;1090;2750;7680
ARMM;19270;2780;1935;0;3204;6000
ARMM;19985;2734;5400;0;4665;5400
ARMM;22500;3188;2396;0;2665;4200
ARMM;9060;1837;1425;0;1670;3600
ARMM;8580;6094;3188;0;2747;4800
ARMM;8400;1362;1974;0;1940;3600
ARMM;7344;1008;1146;400;1040;3600
ARMM;18965;1868;2762;6120;4805;6000
ARMM;9468;2020;1580;300;3800;4800
ARMM;12280;7680;5076;0;5260;9360
ARMM;12600;4866;1150;0;3040;6960
ARMM;15840;2616;1898;2605;3315;6480
ARMM;11250;2532;908;880;4240;9360
ARMM;12600;6188;3713;0;4410;6480
ARMM;14320;3246;2417;1800;4385;6798
ARMM;21000;2406;828;3040;2955;8400
ARMM;10050;2982;1230;150;1750;4560
ARMM;12480;2802;1730;0;3490;4560
ARMM;25530;11988;8820;16840;7715;11640
ARMM;38734;4176;4531;2080;8135;2640
ARMM;15414;1958;2894;6680;5775;1680
ARMM;9623;3032;10318;0;4716;8268
ARMM;10770;2199;1972;1970;2245;3120
ARMM;10074;3456;1962;2180;7023;4002
ARMM;12596;5396;4596;2180;3942;8640
ARMM;24036;7356;2235;6120;5365;3282
ARMM;16320;6396;2090;480;3233;1680
ARMM;22875;1523;1910;0;3890;960
ARMM;22632;7615;2572;0;5420;3798
ARMM;26280;3084;5328;14800;5217;4176
ARMM;13418;1506;3740;1300;7320;6840
ARMM;20700;3064;3928;1040;6092;3360
ARMM;14750;2388;1482;0;3500;1920
ARMM;15052;3540;7174;4400;1380;2814
ARMM;21600;4550;4588;6520;2537;4200
ARMM;21552;3198;2365;880;2535;8934
ARMM;17100;3470;3628;2600;2438;6240
ARMM;15300;2990;2653;880;2290;4422
ARMM;12780;2670;7768;1680;2875;2760
ARMM;21750;7450;5332;9040;2980;5040
ARMM;16720;2450;4928;4860;1860;6300
ARMM;16500;2540;4023;2160;2950;4680
ARMM;20381;3430;5980;3440;1412;5520
ARMM;19934;1910;2614;7720;2620;13590
ARMM;17298;2648;2501;1280;1469;2640
ARMM;10737;2010;2601;1280;1829;7440
ARMM;10311;1040;2052;5120;1782;2040
ARMM;12740;2120;1870;1560;6960;2580
ARMM;19292;6245;3720;480;1498;2640
ARMM;41034;1530;3750;5820;2610;2700
ARMM;32060;7520;1684;2220;3280;6330
ARMM;14980;3918;1390;2880;710;2700
ARMM;15236;4496;1480;4140;3700;4320
ARMM;16570;3180;3300;1920;1190;3780
ARMM;23640;4140;1500;3720;4435;3810
ARMM;14560;4400;1366;720;4040;1440
ARMM;8971;2900;1480;3792;1065;2040
ARMM;7440;2590;2130;3600;5352;78684
ARMM;21918;2824;1740;1116;758;1320
ARMM;42588;8432;17128;12480;20205;13752
ARMM;19593;6100;4197;7360;1932;2010
ARMM;26232;780;6766;5200;6540;2196
ARMM;13195;5406;4124;9840;8315;47910
ARMM;30485;7520;2922;6990;1555;1980
